date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:39	15876/15876	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-3e04%22	https://technext.github.io/bocor/assets/img/portfolio/portfolio-8.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/portfolio/portfolio-8.jpg	(from https://technext.github.io/bocor/index.html)
12:00:39	58756/58756	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-e584%22	https://technext.github.io/bocor/assets/img/portfolio/portfolio-9.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/portfolio/portfolio-9.jpg	(from https://technext.github.io/bocor/index.html)
12:00:40	40201/40201	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-9d09%22	https://technext.github.io/bocor/assets/img/team/team-1.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/team/team-1.jpg	(from https://technext.github.io/bocor/index.html)
12:00:40	49059/49059	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-bfa3%22	https://technext.github.io/bocor/assets/img/team/team-2.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/team/team-2.jpg	(from https://technext.github.io/bocor/index.html)
12:00:40	36680/36680	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-8f48%22	https://technext.github.io/bocor/assets/img/team/team-3.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/team/team-3.jpg	(from https://technext.github.io/bocor/index.html)
12:00:41	36037/36037	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-8cc5%22	https://technext.github.io/bocor/assets/img/team/team-4.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/team/team-4.jpg	(from https://technext.github.io/bocor/index.html)
12:00:41	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-15851%22	https://technext.github.io/bocor/assets/vendor/jquery/jquery.min.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/jquery/jquery.min.js	(from https://technext.github.io/bocor/index.html)
12:00:41	80698/80698	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-13b3a%22	https://technext.github.io/bocor/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://technext.github.io/bocor/index.html)
12:00:42	2532/2532	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-9e4%22	https://technext.github.io/bocor/assets/vendor/jquery.easing/jquery.easing.min.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/jquery.easing/jquery.easing.min.js	(from https://technext.github.io/bocor/index.html)
12:00:42	3537/3537	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-dd1%22	https://technext.github.io/bocor/assets/vendor/php-email-form/validate.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/php-email-form/validate.js	(from https://technext.github.io/bocor/index.html)
12:00:43	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-8a75%22	https://technext.github.io/bocor/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://technext.github.io/bocor/index.html)
12:00:43	11359/11359	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-2c5f%22	https://technext.github.io/bocor/assets/vendor/venobox/venobox.min.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/venobox/venobox.min.js	(from https://technext.github.io/bocor/index.html)
12:00:43	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-3962%22	https://technext.github.io/bocor/assets/vendor/aos/aos.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/aos/aos.js	(from https://technext.github.io/bocor/index.html)
12:00:44	3656/3656	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e60e02c-e48%22	https://technext.github.io/bocor/assets/js/main.js	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/js/main.js	(from https://technext.github.io/bocor/index.html)
12:00:45	537868/537868	---M--	200	added ('OK')	font/woff2	etag:%225e60e02c-8350c%22	https://technext.github.io/bocor/assets/vendor/icofont/fonts/icofont.woff2	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/icofont/fonts/icofont.woff2	(from https://technext.github.io/bocor/assets/vendor/icofont/icofont.min.css)
12:00:45	263296/263296	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e60e02c-40480%22	https://technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.eot	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.eot	(from https://technext.github.io/bocor/assets/vendor/boxicons/css/boxicons.min.css)
12:00:46	89924/89924	---M--	200	added ('OK')	font/woff2	etag:%225e60e02c-15f44%22	https://technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://technext.github.io/bocor/assets/vendor/boxicons/css/boxicons.min.css)
12:00:46	263204/263204	---M--	200	added ('OK')	font/woff	etag:%225e60e02c-40424%22	https://technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.woff	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.woff	(from https://technext.github.io/bocor/assets/vendor/boxicons/css/boxicons.min.css)
12:00:47	263128/263128	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e60e02c-403d8%22	https://technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.ttf	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://technext.github.io/bocor/assets/vendor/boxicons/css/boxicons.min.css)
12:00:47	645604/645604	---M--	200	added ('OK')	font/woff	etag:%225e60e02c-9d9e4%22	https://technext.github.io/bocor/assets/vendor/icofont/fonts/icofont.woff	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/icofont/fonts/icofont.woff	(from https://technext.github.io/bocor/assets/vendor/icofont/icofont.min.css)
12:00:47	933813/933813	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e60e02c-e3fb5%22	https://technext.github.io/bocor/assets/vendor/boxicons/fonts/boxicons.svg?	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://technext.github.io/bocor/assets/vendor/boxicons/css/boxicons.min.css)
12:00:48	72917/72917	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-11cd5%22	https://technext.github.io/bocor/assets/img/about.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/about.jpg	(from https://technext.github.io/bocor/assets/css/style.css)
12:00:50	249630/249630	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-3cf1e%22	https://technext.github.io/bocor/assets/img/footer-bg.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/footer-bg.jpg	(from https://technext.github.io/bocor/assets/css/style.css)
